WWR-EW,WWR-NS,ShadeType,SHGC,VLT,U-value,ExWall,Ventilation,EUI (kWh/m2),ELECp (W/m2),Daylight Autonomy,Excessive Daylight,EUI Saved(-)Wasted(+),REF_ELECp,REF_DA,REF_ExcDA,OT26% - L5-Student-Com-NE,OT26% - L5-Studio-SW,OT26% - L5-Studio-SE,OT26% - L5-Studio-NW,img
25,25,2,0.35,0.43,2.5,1,0,14.35,11.52,10.03,0.1,-22.77,-41.40,-63.71,-93.29,0.19,5.49,5.35,4.99,option_47.png
35,25,2,0.35,0.43,2.5,1,0,15.02,11.98,14.39,0.13,-19.16,-39.06,-47.94,-91.28,0.38,5.1,5.02,4.69,option_48.png
45,25,2,0.35,0.43,2.5,1,0,15.64,12.38,18.63,0.17,-15.82,-37.03,-32.60,-88.59,0.42,5.05,4.94,4.55,option_49.png
25,35,2,0.35,0.43,2.5,1,0,14.49,11.6,10.71,0.1,-22.01,-41.00,-61.25,-93.29,0.27,5.39,5.31,4.91,option_50.png
35,35,2,0.35,0.43,2.5,1,0,15.16,12.09,15.07,0.13,-18.41,-38.50,-45.48,-91.28,0.39,5.08,4.99,4.62,option_51.png
45,35,2,0.35,0.43,2.5,1,0,15.75,12.41,19.32,0.17,-15.23,-36.88,-30.10,-88.59,0.43,5.1,4.99,4.54,option_52.png
25,45,2,0.35,0.43,2.5,1,0,14.62,11.75,11.33,0.1,-21.31,-40.23,-59.01,-93.29,0.32,5.32,5.25,4.87,option_53.png
35,45,2,0.35,0.43,2.5,1,0,15.28,12.16,15.69,0.13,-17.76,-38.15,-43.23,-91.28,0.4,5.07,5.02,4.63,option_54.png
45,45,2,0.35,0.43,2.5,1,0,15.89,12.55,19.93,0.17,-14.48,-36.16,-27.89,-88.59,0.47,5.02,4.95,4.54,option_55.png
25,25,0,0.45,0.53,2.5,1,0,15.84,16.55,28.27,1.52,-14.75,-15.82,2.28,2.01,4.37,12.28,11.2,13.17,option_56.png
35,25,0,0.45,0.53,2.5,1,0,16.97,18.82,39.39,2.11,-8.67,-4.27,42.51,41.61,7,14.06,12.98,15.02,option_57.png
45,25,0,0.45,0.53,2.5,1,0,18.17,21.89,48.39,2.73,-2.21,11.34,75.07,83.22,11.07,16.42,15.37,17.89,option_58.png
25,35,0,0.45,0.53,2.5,1,0,15.96,16.76,29.64,1.57,-14.10,-14.75,7.24,5.37,4.6,12.34,11.24,13.47,option_59.png
35,35,0,0.45,0.53,2.5,1,0,17.13,18.83,40.45,2.16,-7.80,-4.22,46.35,44.97,7.59,14.21,13.17,15.56,option_60.png
